Event	ID	Name			Wwise Object Path	Notes
	98870701	Coin_Pickup			\Default Work Unit\Character-World\Coin\Coin_Pickup	
	302126430	Mage_Footsteps_Start			\Default Work Unit\Classes\Mage\Mage_Footsteps_Start	
	309985790	Mage_Footsteps_Stop			\Default Work Unit\Classes\Mage\Mage_Footsteps_Stop	
	588867630	Druid_Footsteps_Start			\Default Work Unit\Classes\Druid\Druid_Footsteps_Start	
	893890045	Ranger_Footsteps_Stop			\Default Work Unit\Classes\Ranger\Ranger_Footsteps_Stop	
	1045264174	Druid_Jump			\Default Work Unit\Classes\Druid\Druid_Jump	
	1056055054	Druid_Footsteps_Stop			\Default Work Unit\Classes\Druid\Druid_Footsteps_Stop	
	1341943729	Ranger_Jump			\Default Work Unit\Classes\Ranger\Ranger_Jump	
	2072673020	Menu_Scroll			\Default Work Unit\Ui\Menu\Menu_Scroll	
	2152959665	Town_Track			\Default Work Unit\Music\Main_Music\Town_Track	
	2446639207	Knight_Footsteps_Start			\Default Work Unit\Classes\Knight\Knight_Footsteps_Start	
	2560653066	Druid_Attack			\Default Work Unit\Classes\Druid\Druid_Attack	
	2965945301	Knight_Attack			\Default Work Unit\Classes\Knight\Knight_Attack	
	3022924773	Ranger_Attack			\Default Work Unit\Classes\Ranger\Ranger_Attack	
	3083087645	Player_Death			\Default Work Unit\Character-World\Actions\Player_Death	
	3333697559	Ranger_Footsteps_Start			\Default Work Unit\Classes\Ranger\Ranger_Footsteps_Start	
	3614010765	Knight_Footsteps_Stop			\Default Work Unit\Classes\Knight\Knight_Footsteps_Stop	
	3668249301	Minotaur_Attack			\Default Work Unit\Enemies\Minotaur\Minotaur_Attack	
	3675485020	Rogue_Attack			\Default Work Unit\Enemies\Rogue\Rogue_Attack	
	3864212094	Mage_Jump			\Default Work Unit\Classes\Mage\Mage_Jump	
	3926355425	Knight_Jump			\Default Work Unit\Classes\Knight\Knight_Jump	
	4114500570	Mage_Attack			\Default Work Unit\Classes\Mage\Mage_Attack	
	4203375351	Menu_Select			\Default Work Unit\Ui\Menu\Menu_Select	

Audio Bus	ID	Name			Wwise Object Path	Notes
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	15109588	Knight_Jump_V2_02	F:\Documents\GitHub\test\CGX\CGX\CGX_WwiseProject\.cache\Windows\SFX\Knight_Jump_V2_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Classes\Knight\Knight_Jump\Knight_Jump_V2_02		81792
	35215529	Coin_Pickup_V4_06	F:\Documents\GitHub\test\CGX\CGX\CGX_WwiseProject\.cache\Windows\SFX\Coin_Pickup_V4_06_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character-World\Coin\Coin_Pickup\Coin_Pickup_V4_06		26944
	87758470	Coin_Pickup_V4_02	F:\Documents\GitHub\test\CGX\CGX\CGX_WwiseProject\.cache\Windows\SFX\Coin_Pickup_V4_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character-World\Coin\Coin_Pickup\Coin_Pickup_V4_02		41024
	96230328	Druid_Attack_V1	F:\Documents\GitHub\test\CGX\CGX\CGX_WwiseProject\.cache\Windows\SFX\Druid_Attack_V1_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Classes\Druid\Druid_Attack\Druid_Attack_V1		174144
	136010794	Coin_Pickup_V4_05	F:\Documents\GitHub\test\CGX\CGX\CGX_WwiseProject\.cache\Windows\SFX\Coin_Pickup_V4_05_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character-World\Coin\Coin_Pickup\Coin_Pickup_V4_05		34880
	136660730	Knight_Attack_V1	F:\Documents\GitHub\test\CGX\CGX\CGX_WwiseProject\.cache\Windows\SFX\Knight_Attack_V1_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Classes\Knight\Knight_Attack\Knight_Attack_V1		168000
	189906918	Coin_Pickup_V4_04	F:\Documents\GitHub\test\CGX\CGX\CGX_WwiseProject\.cache\Windows\SFX\Coin_Pickup_V4_04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character-World\Coin\Coin_Pickup\Coin_Pickup_V4_04		31552
	235965064	Ranger_Jump_V1_03	F:\Documents\GitHub\test\CGX\CGX\CGX_WwiseProject\.cache\Windows\SFX\Ranger_Jump_V1_03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Classes\Ranger\Ranger_Jump\Ranger_Jump_V1_03		102464
	295259108	Knight_Jump_V2_01	F:\Documents\GitHub\test\CGX\CGX\CGX_WwiseProject\.cache\Windows\SFX\Knight_Jump_V2_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Classes\Knight\Knight_Jump\Knight_Jump_V2_01		85184
	363037985	Druid_Jump_V1_02	F:\Documents\GitHub\test\CGX\CGX\CGX_WwiseProject\.cache\Windows\SFX\Druid_Jump_V1_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Classes\Druid\Druid_Jump\Druid_Jump_V1_02		94272
